geneID	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
A2ML1	8.490420733218421	8.05534524180845	7.9815042422372136	7.700049042826327	7.790277348091491	7.894427420269403	3.943981163110887	4.287783229809549	2.8529357021777884	5.737496548689998
AADAC	3.764766143853184	3.1249643544901016	3.401904479996368	3.8273562859065664	4.105653529666549	2.2221832596193587	-3.5255170651505243	0.1587054285111659	-1.0188103310823746	-0.6042396739549938
AADACL2	6.872019263190773	7.011886473916548	6.083516611181447	6.687395837666822	6.092298623409782	5.202470048418747	-5.8850949667043615	2.915859320040112	2.012186663958369	3.5286025446952074
AARD	2.799015324612939	1.6992254640396844	2.5428879258458843	2.0706592185696895	2.7664313598366754	1.0086684053845292	0.2587503615579046	0.1949989216243687	-0.4447789711826577	0.10880352156452666
ABCA10	4.4110546582067585	4.309835203191924	6.242097966708704	3.8520841817946736	2.766907612119377	2.2423602389159503	2.913892438682758	2.4648060881592304	2.4239924811729265	0.668268394037855
ABCA12	8.590292083722105	7.790670673436956	7.865160310437128	7.584574543991813	7.945364764480434	7.318929431183569	3.3050121420341645	5.265454863675493	4.68647328503279	6.680099207869371
ABCA4	3.473091759862574	1.9862456331296763	2.5850441189016498	0.584970668492731	2.124734584008145	-1.7610870757524806	-1.8019852596420793	0.7404914093484978	-2.1885891045939823	-1.5288694930141504
ABCA8	5.523779949556711	6.113139239320227	6.651441477076128	6.863288180908829	6.091918740700933	3.0193053641711924	4.586326558667699	3.1817131927232074	3.28920687769369	4.1019610001555105
ABHD12B	5.116985942476856	4.854899141587903	4.823944009942757	4.220420328083235	4.7020761795776895	3.231909554632544	1.7971197401171601	2.0338260905837102	1.5154899998079026	3.057980148515232
ABHD16B	-0.3164987104858851	0.12828055520191617	-0.4841719287499758	0.2252438466931426	0.8077281509298229	2.208689184493131	2.214154609554084	2.4648090624611108	1.926549409173809	1.6266601596662695
ABI3	1.517333505469315	1.8644912240018912	0.6727599680204989	1.2020446747345732	-0.06948996885789403	4.845487479592845	5.070369284081355	5.102847084961346	5.263180800040802	4.9616259568343635
AC007325.2	4.896612226402935	4.5550024608874145	4.551268607956393	4.829066422865155	4.635426521806428	2.1644407620184762	-2.939777164600236	-2.14690942310393	-0.6090422112847336	0.4759032304590621
AC009950.1	0.8817013172830188	2.405215056688745	1.9679966695856943	2.154968317706437	-2.1738074215678522	3.783062509160167	4.243957004252776	4.5533853136679525	4.355713966495972	4.827209790832981
AC011380.8	-2.0390612679235396	-1.1881251668387238	-1.1489097211289026	-3.779567665248229	0.48160026480200935	-0.1416870062406831	1.4370935815617838	0.64240072046530206	1.4249006186773723	1.101923441550779
AC013264.1	2.8269873814377817	3.9151558411693994	2.3841912273630133	3.865197879484597	3.5037424278935774	3.8160063126104995	4.579231479711753	6.035301906208778	5.51167997848427	6.243382382297051
AC015688.3	-0.752818705052179	-0.19071902985744202	-0.21705682333760565	-1.3040660295351882	-0.21149638237285984	1.8882882193284696	2.371346812521063	1.4578727912755163	1.3737827581567097	2.8269126680580356
AC025335.1	7.136353351113401	6.91032549968973	6.48609732903235	6.8566689552684315	6.240741820039317	5.538591513971243	2.2702308826588578	3.2244333202359643	3.139071774937995	3.66318742535968
AC093616.4	-2.3206111313492315	0.3596399956944555	0.896428441288771	-0.09188967179451665	-2.1738074215678522	1.8016806340024214	2.934387748670044	3.9046440076166204	3.1167227487102895	1.4983006060797843
AC116366.6	0.9484640337529086	1.5815980417616042	2.2975440732742025	1.3836939715334449	0.8077329200697386	2.917624037457321	3.8024523461539514	4.406674693590918	4.02028549533257	3.529218418211798
AC141272.1	-6.397839033044039	-5.081399678289077	-6.5032345044193	-5.124574562837045	-2.1738074215678522	3.3254478538625607	1.4050700628902477	1.7458812565875252	3.7797985288777185	1.8811760536089062
ACACB	5.43086816492345	6.3171143109058	7.068455255396713	6.250866035525801	6.575053211444593	3.9797988876965773	5.342274499880906	3.9846062421840758	4.156814533840424	4.105383779039448
ACAP1	2.5020861806360397	2.8705371242646613	2.761070303803501	2.7937686000908037	1.5258341145748082	4.983704869142167	5.2337474048197254	5.61304105572226	5.806232340406458	4.375974184493374
ACER1	5.324538909470853	4.9302870647891766	4.553208377907053	4.406299188554104	4.227564685616637	3.5463046199379313	-2.944378970861077	0.3993924114275229	0.47923006953214237	2.112568397200455
ACOD1	-4.786320861539085	-5.064932974533985	-6.5032345044193	-5.124574562837045	-0.71243373407877	1.2272962850791274	3.455500634584273	6.642163099915037	5.43042908244454	4.256654897390618
ACP2	3.07109653512339	3.8398324798835395	3.6182597030977566	3.955197960377766	3.638509928078486	6.264389961262383	6.1767952612157	6.543058766744123	6.65763787669418	6.662319446828775
ACP5	3.892089828526665	3.352559625421256	1.5822642097839519	4.555007781551283	3.4843469009200536	7.869871838666646	6.441077684359166	6.315647339388747	6.6030170197663205	6.577647696052238
ACRBP	-0.22397463995040545	-0.32584459857308407	0.20703280518367143	-0.28701230698500174	-2.1738074215678522	1.3859210436346852	1.873781758578918	1.1637550835514123	2.155799642626141	1.9814696403767167
ACSL5	2.371042032118623	3.7198743399085705	3.294193198114249	3.535713347093341	3.6204211290391184	5.821531501119343	6.133823712327742	5.945043468575128	6.295491465864491	6.5417047402639295
ACSL6	-1.6705334095538953	-0.08467685432095072	-0.15700469901517594	-0.8604616856698933	1.8591262209708919	1.81628110308358	1.491364204319112	2.0952714668905985	2.994222112804384	2.840069054350901
